구분,노선번호,기점,종점,연도, 1월이용객수 , 2월이용객수 , 3월이용객수 , 4월이용객수 , 5월이용객수 , 6월이용객수 ,7월이용객수,8월이용객수,9월이용객수,10월이용객수,11월이용객수,12월이용객수,데이터기준일자,버스노선 운행시간표 선정 기준 
마을버스,H1,동탄2차고지,신영통현대타운. 두산위브,2023,53638,50398,62456,56212,55320,55320,54372,53297,52484,52472,52643,52094,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H100,동탄2차고지,현대기아연구소,2023,7562,9256,11820,11418,12970,12970,12495,11730,13712,14572,15783,15261,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H101,영천동,기산동,2023,7291,6666,7929,7556,7615,7615,8050,8664,8853,9337,9940,9073,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H102,동탄2차고지,반월동,2023,7541,7861,9218,9007,8936,8936,8991,8973,9140,10243,11782,10454,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H103,향남,수원역,2023,7006,7358,10905,10986,10027,10027,8437,8421,10586,10540,9944,8086,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H104,향남,송탄역,2023,12211,12370,15134,15036,15990,16012,14241,14138,14877,15757,14801,14639,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H10-4,향남,비봉,2023,748,802,1013,1002,998,998,948,937,1015,978,1019,852,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H105,고온리,병점역,2023,13753,15473,18869,17350,17803,17803,16984,17034,18613,20277,20226,18985,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H106,남양,조암농협,2023,6157,5936,7912,8103,9087,9107,8817,9217,9420,9681,9010,8835,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H10-6,향남,왕림휴게소,2023,748,802,1014,1002,998,998,927,962,970,997,870,962,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H10-7,향남,해병대사령부,2023,399,386,482,441,446,446,336,434,412,409,353,244,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H10-8,향남,해병대사령부,2023,400,387,481,441,446,446,489,504,593,594,504,349,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H120A,수원역 환승센터,석포공단,2023,2636,2534,3956,3484,3749,3749,1406,1441,1353,1468,1446,1235,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H120B,화성시청,향남2,2023,2636,2535,3956,3485,3749,3749,5986,6129,6651,7028,6280,6801,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H121,향남1,부처내,2023,2878,2791,3156,3094,3236,3236,3050,3061,3150,3164,2898,3071,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H122,향남2,부처내,2023,2402,2293,2946,2926,2922,2922,2456,2751,2963,2633,2797,2815,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H130,새솔고,원시역2번출구,2023,1692,1609,2811,3058,2975,2975,2743,2266,2486,2509,2832,2539,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H131,봉담,수원역,2023,3345,3367,4124,4012,3561,3561,2047,2495,3197,3375,1743,176,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H13-5,그린환경센터,향남,2023,2895,2469,3151,2983,2825,2825,2608,2486,2150,2479,2714,2575,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H13-7,향남,부처내,2023,2699,2624,3066,3147,2987,2992,2980,3204,3358,3178,3086,3116,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H160,신경대학,수원역 환승센터,2023,3359,3095,3984,4198,4028,4028,3392,2929,3427,3478,3355,3243,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H161,향남시외터미널,수원역 환승센터,2023,2700,2775,3881,3979,3721,3721,3075,3235,3885,4160,4078,3806,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H2,장지동농협,병점역후문,2023,84841,80706,97990,91763,91669,91669,82630,85410,86647,90124,86940,87262,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H340,향남,삼천리마을앞,2023,3324,3505,4079,3821,3370,3370,3814,3727,4077,4085,4593,4890,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
시내버스,H404,수원역환승센터,바이오밸리,2023,40255,38837,46611,45382,45611,45611,47149,40068,43915,45492,41949,44584,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H50,송교리종점,송교리종점,2023,1892,2468,1762,2024,2318,2318,2974,2935,1809,2223,1368,1480,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H50-3,신경대학,살곶이,2023,2933,2919,3622,3634,3872,3872,3891,3705,3879,4051,3940,3524,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H50-4B,신경대학,대광1차,2023,2859,2565,3218,3089,3088,3088,2654,2259,2024,2154,1690,3322,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H50-6A,화성의과학대학,금강아파트,2023,3504,3267,4437,4206,4426,4431,4237,3943,4260,4305,4169,4039,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H50-6B,화성의과학대학,금강아파트,2023,2745,2920,3477,3604,3690,3690,3819,3654,3572,3830,3417,2941,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H50-7,신경대학,사광복지회관,2023,3021,3056,4025,3691,3554,3554,3221,2655,3122,3354,3410,3127,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H50-9,화성의과학대학,서희스타힐스,2023,1530,1926,2043,2183,1875,1875,1844,2199,1935,2096,2307,2226,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H51,전곡항,백미리사랑방,2023,845,939,848,842,938,938,937,864,922,1000,827,732,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
마을버스,H52,전곡항,궁평유원지,2023,507,592,651,643,631,631,588,575,553,675,486,533,2023-12-31,"기점종점위치, 휴게공간위치, 운전원 근로 및 휴게시간, 오전오후 출근퇴근시간대"
