년도,월,지역,지역코드,버스노선,시점-종점 정보,시간,시간코드,주말/평일 구분,주말/평일 구분 코드,단일 승차인원,단일 하차인원,단일 총승객인원,환승 승차인원,환승 하차인원,환승 총승객인원,전체 승차인원,전체 하차인원,전체 총승객인원
2023,12,경기도 화성시,3124000,100,파크자이2차-파크자이2차,06시~07시,6,평일,1,1,1,2,0,0,0,1,1,2
2023,12,경기도 화성시,3124000,100,파크자이2차-파크자이2차,08시~09시,8,평일,1,52,61,113,0,0,0,52,61,113
2023,12,경기도 화성시,3124000,100,파크자이2차-파크자이2차,18시~19시,18,평일,1,12,16,28,8,8,16,20,24,44
2023,12,경기도 화성시,3124000,100,파크자이2차-파크자이2차,19시~20시,19,평일,1,3,4,7,1,1,2,4,5,9
2023,12,경기도 화성시,3124000,100,파크자이2차-파크자이2차,07시~08시,7,평일,1,36,26,62,1,1,2,37,27,64
2023,12,경기도 화성시,3124000,1000,장외리.오리골-동탄역(동측),06시~07시,6,평일,1,5,4,9,4,4,8,9,8,17
2023,12,경기도 화성시,3124000,1000,장외리.오리골-동탄역(동측),19시~20시,19,평일,1,11,15,26,31,28,59,42,43,85
2023,12,경기도 화성시,3124000,1000,장외리.오리골-동탄역(동측),18시~19시,18,평일,1,21,29,50,3,11,14,24,40,64
2023,12,경기도 화성시,3124000,1000,장외리.오리골-동탄역(동측),07시~08시,7,평일,1,44,24,68,23,10,33,67,34,101
2023,12,경기도 화성시,3124000,1000,장외리.오리골-동탄역(동측),08시~09시,8,평일,1,36,44,80,6,16,22,42,60,102
2023,12,경기도 화성시,3124000,116-2,영통차고지(경유)-갈곶동.KCC스위첸아파트,08시~09시,8,평일,1,128,148,276,40,37,77,168,185,353
2023,12,경기도 화성시,3124000,116-2,영통차고지(경유)-갈곶동.KCC스위첸아파트,07시~08시,7,평일,1,138,109,247,22,18,40,160,127,287
2023,12,경기도 화성시,3124000,116-2,영통차고지(경유)-갈곶동.KCC스위첸아파트,06시~07시,6,평일,1,58,42,100,10,7,17,68,49,117
2023,12,경기도 화성시,3124000,116-2,영통차고지(경유)-갈곶동.KCC스위첸아파트,19시~20시,19,평일,1,60,75,135,16,14,30,76,89,165
2023,12,경기도 화성시,3124000,116-2,영통차고지(경유)-갈곶동.KCC스위첸아파트,18시~19시,18,평일,1,131,143,274,8,14,22,139,157,296
2023,12,경기도 화성시,3124000,116-5,영통차고지(경유)-갈곶동.KCC스위첸아파트,19시~20시,19,평일,1,73,90,163,22,22,44,95,112,207
2023,12,경기도 화성시,3124000,116-5,영통차고지(경유)-갈곶동.KCC스위첸아파트,18시~19시,18,평일,1,132,155,287,19,12,31,151,167,318
2023,12,경기도 화성시,3124000,116-5,영통차고지(경유)-갈곶동.KCC스위첸아파트,08시~09시,8,평일,1,127,165,292,29,29,58,156,194,350
2023,12,경기도 화성시,3124000,116-5,영통차고지(경유)-갈곶동.KCC스위첸아파트,06시~07시,6,평일,1,53,37,90,15,11,26,68,48,116
2023,12,경기도 화성시,3124000,116-5,영통차고지(경유)-갈곶동.KCC스위첸아파트,07시~08시,7,평일,1,142,90,232,10,12,22,152,102,254
2023,12,경기도 화성시,3124000,12,장짐교차로-남양성지,07시~08시,7,평일,1,81,72,153,9,4,13,90,76,166
2023,12,경기도 화성시,3124000,12,장짐교차로-남양성지,06시~07시,6,평일,1,29,19,48,4,3,7,33,22,55
2023,12,경기도 화성시,3124000,12,장짐교차로-남양성지,18시~19시,18,평일,1,46,45,91,19,20,39,65,65,130
2023,12,경기도 화성시,3124000,12,장짐교차로-남양성지,18시~19시,18,평일,1,10,4,14,2,1,3,12,5,17
2023,12,경기도 화성시,3124000,12,장짐교차로-남양성지,06시~07시,6,평일,1,3,5,8,3,3,6,6,8,14
2023,12,경기도 화성시,3124000,12,장짐교차로-남양성지,08시~09시,8,평일,1,75,87,162,21,22,43,96,109,205
2023,12,경기도 화성시,3124000,12,장짐교차로-남양성지,08시~09시,8,평일,1,10,7,17,3,2,5,13,9,22
2023,12,경기도 화성시,3124000,12,장짐교차로-남양성지,19시~20시,19,평일,1,26,27,53,18,21,39,44,48,92
2023,12,경기도 화성시,3124000,12,장짐교차로-남양성지,07시~08시,7,평일,1,8,9,17,1,2,3,9,11,20
2023,12,경기도 화성시,3124000,12,장짐교차로-남양성지,19시~20시,19,평일,1,14,20,34,3,4,7,17,24,41
2023,12,경기도 화성시,3124000,1551,수원대학교-양재역.서초문화예술회관(중),08시~09시,8,평일,1,67,67,134,29,30,59,96,97,193
2023,12,경기도 화성시,3124000,1551,수원대학교-양재역.서초문화예술회관(중),07시~08시,7,평일,1,68,81,149,18,15,33,86,96,182
2023,12,경기도 화성시,3124000,1551,수원대학교-양재역.서초문화예술회관(중),19시~20시,19,평일,1,22,40,62,20,20,40,42,60,102
2023,12,경기도 화성시,3124000,1551,수원대학교-양재역.서초문화예술회관(중),06시~07시,6,평일,1,61,17,78,6,1,7,67,18,85
2023,12,경기도 화성시,3124000,1551,수원대학교-양재역.서초문화예술회관(중),18시~19시,18,평일,1,42,35,77,31,20,51,73,55,128
2023,12,경기도 화성시,3124000,1551B,수원대학교-신분당선강남역(중),07시~08시,7,평일,1,77,58,135,20,9,29,97,67,164
2023,12,경기도 화성시,3124000,1551B,수원대학교-신분당선강남역(중),19시~20시,19,평일,1,29,39,68,18,15,33,47,54,101
2023,12,경기도 화성시,3124000,1551B,수원대학교-신분당선강남역(중),18시~19시,18,평일,1,38,59,97,16,23,39,54,82,136
2023,12,경기도 화성시,3124000,1551B,수원대학교-신분당선강남역(중),08시~09시,8,평일,1,62,98,160,27,24,51,89,122,211
2023,12,경기도 화성시,3124000,1551B,수원대학교-신분당선강남역(중),06시~07시,6,평일,1,67,21,88,7,2,9,74,23,97
2023,12,경기도 화성시,3124000,17,병점역후문-동탄역(동측),08시~09시,8,평일,1,6,6,12,0,0,0,6,6,12
2023,12,경기도 화성시,3124000,17,병점역후문-동탄역(동측),07시~08시,7,평일,1,201,164,365,34,25,59,235,189,424
2023,12,경기도 화성시,3124000,17,병점역후문-동탄역(동측),18시~19시,18,평일,1,173,192,365,59,51,110,232,243,475
2023,12,경기도 화성시,3124000,17,병점역후문-동탄역(동측),19시~20시,19,평일,1,143,140,283,81,86,167,224,226,450
2023,12,경기도 화성시,3124000,17,병점역후문-동탄역(동측),06시~07시,6,평일,1,93,74,167,22,18,40,115,92,207
2023,12,경기도 화성시,3124000,17,병점역후문-동탄역(동측),08시~09시,8,평일,1,262,274,536,30,32,62,292,306,598
2023,12,경기도 화성시,3124000,19,호수공원행복주택.호수부영6차-병점역사거리,19시~20시,19,평일,1,77,99,176,92,99,191,169,198,367
2023,12,경기도 화성시,3124000,19,호수공원행복주택.호수부영6차-병점역사거리,18시~19시,18,평일,1,163,189,352,71,83,154,234,272,506
2023,12,경기도 화성시,3124000,19,호수공원행복주택.호수부영6차-병점역사거리,08시~09시,8,평일,1,307,296,603,49,75,124,356,371,727
2023,12,경기도 화성시,3124000,19,호수공원행복주택.호수부영6차-병점역사거리,07시~08시,7,평일,1,238,241,479,73,52,125,311,293,604
2023,12,경기도 화성시,3124000,19,호수공원행복주택.호수부영6차-병점역사거리,19시~20시,19,평일,1,2,0,2,0,0,0,2,0,2
2023,12,경기도 화성시,3124000,19,호수공원행복주택.호수부영6차-병점역사거리,06시~07시,6,평일,1,173,122,295,37,21,58,210,143,353
2023,12,경기도 화성시,3124000,19-5(B),동탄역(동측)-병점역사거리,06시~07시,6,평일,1,9,8,17,2,2,4,11,10,21
2023,12,경기도 화성시,3124000,19-5(B),동탄역(동측)-병점역사거리,07시~08시,7,평일,1,81,55,136,22,15,37,103,70,173
2023,12,경기도 화성시,3124000,19-5(B),동탄역(동측)-병점역사거리,08시~09시,8,평일,1,66,88,154,18,25,43,84,113,197
2023,12,경기도 화성시,3124000,19-5(B),동탄역(동측)-병점역사거리,18시~19시,18,평일,1,31,25,56,8,6,14,39,31,70
2023,12,경기도 화성시,3124000,19-5(B),동탄역(동측)-병점역사거리,19시~20시,19,평일,1,24,27,51,12,12,24,36,39,75
2023,12,경기도 화성시,3124000,200,경기고속차고지-반도10차,08시~09시,8,평일,1,76,90,166,3,2,5,79,92,171
2023,12,경기도 화성시,3124000,200,경기고속차고지-반도10차,07시~08시,7,평일,1,72,47,119,2,4,6,74,51,125
2023,12,경기도 화성시,3124000,200,경기고속차고지-반도10차,06시~07시,6,평일,1,33,11,44,5,2,7,38,13,51
2023,12,경기도 화성시,3124000,200,경기고속차고지-반도10차,18시~19시,18,평일,1,30,35,65,21,17,38,51,52,103
2023,12,경기도 화성시,3124000,200,경기고속차고지-반도10차,19시~20시,19,평일,1,33,47,80,9,13,22,42,60,102
2023,12,경기도 화성시,3124000,203,동탄2차고지-영흥수목원.영흥숲푸르지오파크비엔아파트,19시~20시,19,평일,1,92,112,204,39,40,79,131,152,283
2023,12,경기도 화성시,3124000,203,동탄2차고지-영흥수목원.영흥숲푸르지오파크비엔아파트,06시~07시,6,평일,1,17,5,22,6,0,6,23,5,28
2023,12,경기도 화성시,3124000,203,동탄2차고지-영흥수목원.영흥숲푸르지오파크비엔아파트,08시~09시,8,평일,1,113,111,224,24,22,46,137,133,270
2023,12,경기도 화성시,3124000,203,동탄2차고지-영흥수목원.영흥숲푸르지오파크비엔아파트,18시~19시,18,평일,1,85,90,175,20,23,43,105,113,218
2023,12,경기도 화성시,3124000,203,동탄2차고지-영흥수목원.영흥숲푸르지오파크비엔아파트,07시~08시,7,평일,1,73,52,125,10,12,22,83,64,147
2023,12,경기도 화성시,3124000,205,경기고속차고지-한신더휴,06시~07시,6,평일,1,9,5,14,1,1,2,10,6,16
2023,12,경기도 화성시,3124000,205,경기고속차고지-한신더휴,07시~08시,7,평일,1,47,35,82,3,2,5,50,37,87
2023,12,경기도 화성시,3124000,205,경기고속차고지-한신더휴,08시~09시,8,평일,1,76,77,153,9,10,19,85,87,172
2023,12,경기도 화성시,3124000,205,경기고속차고지-한신더휴,18시~19시,18,평일,1,19,21,40,11,6,17,30,27,57
2023,12,경기도 화성시,3124000,205,경기고속차고지-한신더휴,19시~20시,19,평일,1,44,46,90,16,17,33,60,63,123
2023,12,경기도 화성시,3124000,27,경진여객차고지-석천1리포도원,19시~20시,19,평일,1,195,232,427,136,165,301,331,397,728
2023,12,경기도 화성시,3124000,27,경진여객차고지-석천1리포도원,18시~19시,18,평일,1,288,310,598,135,129,264,423,439,862
2023,12,경기도 화성시,3124000,27,경진여객차고지-석천1리포도원,07시~08시,7,평일,1,322,285,607,60,42,102,382,327,709
2023,12,경기도 화성시,3124000,27,경진여객차고지-석천1리포도원,08시~09시,8,평일,1,359,382,741,106,105,211,465,487,952
2023,12,경기도 화성시,3124000,27,경진여객차고지-석천1리포도원,06시~07시,6,평일,1,224,167,391,31,31,62,255,198,453
2023,12,경기도 화성시,3124000,4108,나루마을.월드반도-서울역버스환승센터(6번승강장)(중),06시~07시,6,평일,1,116,2,118,33,0,33,149,2,151
2023,12,경기도 화성시,3124000,4108,나루마을.월드반도-서울역버스환승센터(6번승강장)(중),07시~08시,7,평일,1,88,106,194,42,33,75,130,139,269
2023,12,경기도 화성시,3124000,4108,나루마을.월드반도-서울역버스환승센터(6번승강장)(중),08시~09시,8,평일,1,95,97,192,30,46,76,125,143,268
2023,12,경기도 화성시,3124000,4108,나루마을.월드반도-서울역버스환승센터(6번승강장)(중),18시~19시,18,평일,1,77,45,122,29,30,59,106,75,181
2023,12,경기도 화성시,3124000,4108,나루마을.월드반도-서울역버스환승센터(6번승강장)(중),19시~20시,19,평일,1,40,90,130,30,40,70,70,130,200
2023,12,경기도 화성시,3124000,4403,나루마을.월드반도-신분당선강남역(중),08시~09시,8,평일,1,108,170,278,25,45,70,133,215,348
2023,12,경기도 화성시,3124000,4403,나루마을.월드반도-신분당선강남역(중),19시~20시,19,평일,1,27,55,82,35,87,122,62,142,204
2023,12,경기도 화성시,3124000,4403,나루마을.월드반도-신분당선강남역(중),06시~07시,6,평일,1,86,14,100,6,1,7,92,15,107
2023,12,경기도 화성시,3124000,4403,나루마을.월드반도-신분당선강남역(중),18시~19시,18,평일,1,63,49,112,93,59,152,156,108,264
2023,12,경기도 화성시,3124000,4403,나루마을.월드반도-신분당선강남역(중),07시~08시,7,평일,1,158,88,246,44,10,54,202,98,300
2023,12,경기도 화성시,3124000,6,병점역후문-포스코2차.신미주아파트,08시~09시,8,평일,1,0,7,7,0,0,0,0,7,7
2023,12,경기도 화성시,3124000,6,병점역후문-포스코2차.신미주아파트,07시~08시,7,평일,1,13,13,26,2,2,4,15,15,30
2023,12,경기도 화성시,3124000,6,병점역후문-포스코2차.신미주아파트,19시~20시,19,평일,1,11,10,21,5,5,10,16,15,31
2023,12,경기도 화성시,3124000,6,병점역후문-포스코2차.신미주아파트,08시~09시,8,평일,1,8,4,12,1,1,2,9,5,14
2023,12,경기도 화성시,3124000,6,병점역후문-포스코2차.신미주아파트,06시~07시,6,평일,1,14,14,28,0,3,3,14,17,31
2023,12,경기도 화성시,3124000,6,병점역후문-포스코2차.신미주아파트,07시~08시,7,평일,1,15,8,23,0,0,0,15,8,23
2023,12,경기도 화성시,3124000,6,병점역후문-포스코2차.신미주아파트,18시~19시,18,평일,1,5,7,12,1,3,4,6,10,16
2023,12,경기도 화성시,3124000,6001,동탄2차고지-신분당선강남역(중),18시~19시,18,평일,1,154,160,314,101,78,179,255,238,493
2023,12,경기도 화성시,3124000,6001,동탄2차고지-신분당선강남역(중),08시~09시,8,평일,1,151,179,330,25,34,59,176,213,389
2023,12,경기도 화성시,3124000,6001,동탄2차고지-신분당선강남역(중),07시~08시,7,평일,1,190,124,314,32,19,51,222,143,365
2023,12,경기도 화성시,3124000,6001,동탄2차고지-신분당선강남역(중),06시~07시,6,평일,1,135,57,192,16,11,27,151,68,219
2023,12,경기도 화성시,3124000,6001,동탄2차고지-신분당선강남역(중),19시~20시,19,평일,1,83,139,222,63,95,158,146,234,380
2023,12,경기도 화성시,3124000,6003,동탄2차고지-판교역.낙생육교.현대백화점,08시~09시,8,평일,1,225,288,513,135,165,300,360,453,813
2023,12,경기도 화성시,3124000,6003,동탄2차고지-판교역.낙생육교.현대백화점,18시~19시,18,평일,1,255,300,555,78,94,172,333,394,727
2023,12,경기도 화성시,3124000,6003,동탄2차고지-판교역.낙생육교.현대백화점,19시~20시,19,평일,1,191,267,458,74,104,178,265,371,636
2023,12,경기도 화성시,3124000,6003,동탄2차고지-판교역.낙생육교.현대백화점,07시~08시,7,평일,1,316,245,561,163,102,265,479,347,826
2023,12,경기도 화성시,3124000,6003,동탄2차고지-판교역.낙생육교.현대백화점,06시~07시,6,평일,1,185,45,230,56,30,86,241,75,316
2023,12,경기도 화성시,3124000,6004,동탄국제고등학교-신분당선강남역(중),06시~07시,6,평일,1,95,29,124,23,10,33,118,39,157
2023,12,경기도 화성시,3124000,6004,동탄국제고등학교-신분당선강남역(중),07시~08시,7,평일,1,134,99,233,30,13,43,164,112,276
2023,12,경기도 화성시,3124000,6004,동탄국제고등학교-신분당선강남역(중),08시~09시,8,평일,1,89,130,219,21,40,61,110,170,280
2023,12,경기도 화성시,3124000,6004,동탄국제고등학교-신분당선강남역(중),19시~20시,19,평일,1,53,69,122,35,69,104,88,138,226
2023,12,경기도 화성시,3124000,6004,동탄국제고등학교-신분당선강남역(중),18시~19시,18,평일,1,50,70,120,57,40,97,107,110,217
2023,12,경기도 화성시,3124000,6008,동탄2차고지-서초아트자이아파트,08시~09시,8,평일,1,104,141,245,61,69,130,165,210,375
2023,12,경기도 화성시,3124000,6008,동탄2차고지-서초아트자이아파트,06시~07시,6,평일,1,98,35,133,35,7,42,133,42,175
2023,12,경기도 화성시,3124000,6008,동탄2차고지-서초아트자이아파트,19시~20시,19,평일,1,82,132,214,40,46,86,122,178,300
2023,12,경기도 화성시,3124000,6008,동탄2차고지-서초아트자이아파트,18시~19시,18,평일,1,128,111,239,44,35,79,172,146,318
2023,12,경기도 화성시,3124000,6008,동탄2차고지-서초아트자이아파트,07시~08시,7,평일,1,122,80,202,55,31,86,177,111,288
2023,12,경기도 화성시,3124000,701A,동탄2차고지-곡반정동차고지,18시~19시,18,평일,1,103,104,207,45,56,101,148,160,308
2023,12,경기도 화성시,3124000,701A,동탄2차고지-곡반정동차고지,08시~09시,8,평일,1,160,173,333,19,33,52,179,206,385
2023,12,경기도 화성시,3124000,701A,동탄2차고지-곡반정동차고지,07시~08시,7,평일,1,111,83,194,20,5,25,131,88,219
2023,12,경기도 화성시,3124000,701A,동탄2차고지-곡반정동차고지,06시~07시,6,평일,1,35,27,62,3,3,6,38,30,68
2023,12,경기도 화성시,3124000,701A,동탄2차고지-곡반정동차고지,19시~20시,19,평일,1,58,63,121,22,29,51,80,92,172
2023,12,경기도 화성시,3124000,708,동탄2차고지-병점역사거리,19시~20시,19,평일,1,123,162,285,120,146,266,243,308,551
2023,12,경기도 화성시,3124000,708,동탄2차고지-병점역사거리,18시~19시,18,평일,1,232,236,468,122,93,215,354,329,683
2023,12,경기도 화성시,3124000,708,동탄2차고지-병점역사거리,08시~09시,8,평일,1,375,378,753,92,103,195,467,481,948
2023,12,경기도 화성시,3124000,708,동탄2차고지-병점역사거리,07시~08시,7,평일,1,286,255,541,82,64,146,368,319,687
2023,12,경기도 화성시,3124000,708,동탄2차고지-병점역사거리,06시~07시,6,평일,1,178,169,347,55,46,101,233,215,448
2023,12,경기도 화성시,3124000,709,서동탄역-동탄역(동측),08시~09시,8,평일,1,108,111,219,15,15,30,123,126,249
2023,12,경기도 화성시,3124000,709,서동탄역-동탄역(동측),07시~08시,7,평일,1,104,91,195,15,15,30,119,106,225
