정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,도로명 주소,정류장ID
GGB233001218,메타폴리스(중),37.2042667,127.0674833,2023-10-16,36666,31240,경기도 화성시,경기,경기 화성시 반송동 248-1,233001218
GGB233001219,메타폴리스(중),37.2037333,127.0675167,2023-10-16,36667,31240,경기도 화성시,경기,경기 화성시 반송동 248,233001219
GGB233001224,다은마을(중),37.1999833,127.0675833,2023-10-16,36664,31240,경기도 화성시,경기,경기 화성시 반송동 180,233001224
GGB233001281,예당마을.롯데캐슬(중),37.21095,127.0720667,2023-10-16,36672,31240,경기도 화성시,경기,경기 화성시 반송동 257,233001281
GGB233001283,센트럴파크뷰아파트(중),37.1994333,127.06415,2023-10-16,37590,31240,경기도 화성시,경기,경기 화성시 석우동 107,233001283
GGB233001437,개나리공원,37.21135,127.0677167,2023-10-16,37533,31240,경기도 화성시,경기,경기 화성시 반송동 109,233001437
GGB233001438,개나리공원,37.2117,127.06755,2023-10-16,36721,31240,경기도 화성시,경기,경기 화성시 석우동 25-9,23001438
GGB233001450,솔빛마을.서해.쌍용아파트,37.1958167,127.0696333,2023-10-16,36680,31240,경기도 화성시,경기,경기 화성시 반송동 264-3,233001450
GGB233001486,노작마을.한화우림,37.1961833,127.0773333,2023-10-16,37616,31240,경기도 화성시,경기,경기 화성시 반송동 243-4,233001486
GGB233002674,화성미디어센터,37.20275,127.0739333,2023-10-16,55725,31240,경기도 화성시,경기,경기 화성시 반송동 243-2,233002674
GGB233002681,라마다호텔(공항버스),37.2057167,127.0751833,2023-10-16,55719,31240,경기도 화성시,경기,경기 화성시 반송동 243,233002681
GGB233001640,동탄2동행정복지센터,37.19715,127.0726,2023-10-16,37662,31240,경기도 화성시,경기,경기 화성시 반송동 263,233001640
GGB233001650,동탄1동행정복지센터.헌혈의집,37.20685,127.07235,2023-10-16,37749,31240,경기도 화성시,경기,경기 화성시 반송동 83,233001650
GGB233001651,현대아이파크,37.2057333,127.0706167,2023-10-16,37747,31240,경기도 화성시,경기,경기 화성시 반송동 85-4,233001651
GGB233001652,예당예원초,37.2107,127.0775833,2023-10-16,37758,31240,경기도 화성시,경기,경기 화성시 석우동 112,233001652
GGB233001653,롯데케슬정문,37.2092667,127.0749167,2023-10-16,37798,31240,경기도 화성시,경기,경기 화성시 석우동 111,233001653
GGB233001673,미즈파크병원,37.2096333,127.0604667,2023-10-16,37736,31240,경기도 화성시,경기,경기 화성시 반송동 233-1,233001673
GGB233001675,센트럴파크,37.2080667,127.0639333,2023-10-16,37703,31240,경기도 화성시,경기,경기 화성시 반송동 233-1,233001675
GGB233001677,한화꿈에그린아파트,37.2068167,127.06655,2023-10-16,37737,31240,경기도 화성시,경기,경기 화성시 반송동 82-1,233001677
GGB233001678,메타폴리스,37.2053667,127.0707333,2023-10-16,37733,31240,경기도 화성시,경기,경기 화성시 반송동 233-1,233001678
GGB233001679,동탄1동행정복지센터.헌혈의집,37.20665,127.0725667,2023-10-16,37694,31240,경기도 화성시,경기,경기 화성시 반송동 235,233001679
GGB233001680,예당마을,37.20755,127.0746167,2023-10-16,37743,31240,경기도 화성시,경기,경기 화성시 석우동 56-3,233001680
GGB233001681,신일유토빌정문,37.20915,127.07505,2023-10-16,37695,31240,경기도 화성시,경기,경기 화성시 석우동 111,233001681
GGB233001682,예당예원초,37.2105667,127.0776667,2023-10-16,37711,31240,경기도 화성시,경기,경기 화성시 석우동 112,233001682
GGB233001683,전하리교회.우미제일,37.21315,127.0792833,2023-10-16,37712,31240,경기도 화성시,경기,경기 화성시 석우동 113,233001683
GGB233001697,센트럴포레스트정문,37.1971167,127.06575,2023-10-16,37708,31240,경기도 화성시,경기,경기 화성시 반송동 265,233001697
GGB233001715,능동주공단지,37.2135,127.06245,2023-10-16,37744,31240,경기도 화성시,경기,경기 화성시 반송동 264-2,233001715
GGB233001720,동탄보건지소.우체국,37.2071,127.07605,2023-10-16,37847,31240,경기도 화성시,경기,경기 화성시 석우동 116,233001720
GGB233001721,우림필유,37.2008333,127.0595833,2023-10-16,37848,31240,경기도 화성시,경기,경기 화성시 반송동 244-1,233001721
GGB233001722,동탄고.동탄청소년문화의집,37.2038,127.0594667,2023-10-16,37849,31240,경기도 화성시,경기,경기 화성시 석우동 115,233001722
GGB233001733,서해그랑블아파트,37.1988,127.0702667,2023-10-16,37851,31240,경기도 화성시,경기,경기 화성시 반송동 255,233001733
GGB233001735,동탄보건지소.우체국,37.2071,127.0765667,2023-10-16,37853,31240,경기도 화성시,경기,경기 화성시 반송동 261,233001735
GGB233001736,대우푸르지오.예당고등학교,37.2085,127.07895,2023-10-16,37854,31240,경기도 화성시,경기,경기 화성시 석우동 115,233001736
GGB233002954,동탄119안전센터,37.205,127.0727833,2023-10-16,0,31240,경기도 화성시,경기,경기 화성시 반송동 233-3,233002954
GGB233001963,반월e편한세상,37.2259833,127.0596667,2023-10-16,36136,31240,경기도 화성시,경기,경기 화성시 반송동 289-2,233001963
GGB233001972,잎새지하차도,37.2094333,127.0716,2023-10-16,55364,31240,경기도 화성시,경기,경기 화성시 반송동 255,233001972
GGB233001973,잎새지하차도,37.2090667,127.0713,2023-10-16,55088,31240,경기도 화성시,경기,경기 화성시 석우동 55-3,233001973
GGB233001978,IT단지(중),37.2247167,127.0741333,2023-10-16,37954,31240,경기도 화성시,경기,경기 화성시 석우동 65,233001978
GGB233002092,동양파라곤,37.2040333,127.0709833,2023-10-16,36994,31240,경기도 화성시,경기,경기 화성시 반송동 94-1,233002092
GGB233002093,동양파라곤,37.2040333,127.07135,2023-10-16,36995,31240,경기도 화성시,경기,경기 화성시 반송동 249,233002093
GGB233003186,우미제일.전하리교회,37.2121333,127.0793833,2023-10-16,37760,31240,경기도 화성시,경기,경기 화성시 석우동 113,233003186
GGB233002376,동탄홈플러스,37.2020167,127.0693167,2023-10-16,55277,31240,경기도 화성시,경기,경기 화성시 반송동 100,233002376
GGB233000070,솔빛동탄경남아너스빌,37.1991167,127.07425,2023-10-16,36049,31240,경기도 화성시,경기,경기 화성시 반송동 243-3,233000070
